id,session_id,log_type,start_time,end_time,duration_minutes,break_token_used,created_at
5afd1ab9-ca8d-484c-9977-bf6c56830c81,a55167f6-aad4-55b8-9988-c570ca2b48b7,work,2026-02-17 23:35:13.182368,2026-02-18 01:05:13.182368,90,false,2026-03-18 07:35:13.182368
61960543-b708-4f6c-b7c3-fa3657436eaa,d74eb73f-0f9c-4540-bb0d-e58656d4a31c,work,2026-03-20 05:00:27.822468,2026-03-20 07:45:21.09711,164,false,2026-03-20 07:45:22.315555
665177b3-427a-4fdf-a735-957877742853,e32dd7ee-eb3b-4eed-99ba-658eeef3e1d8,work,2026-03-19 06:39:35.921179,2026-03-19 07:28:19.861905,48,false,2026-03-19 07:27:52.687148
6c8d17f9-c9bb-4fa2-a7e3-283a982445f5,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,work,2026-02-18 01:35:13.182368,2026-02-18 07:05:13.182368,270,false,2026-03-18 07:35:13.182368
6d831955-e60d-4c3c-a9a4-f124f715022a,a55167f6-aad4-55b8-9988-c570ca2b48b7,work,2026-02-17 22:35:13.182368,2026-02-17 23:25:13.182368,50,false,2026-03-18 07:35:13.182368
73b1f919-6b87-4b03-9cf5-222dd374953e,f5783da6-6e4e-407e-9650-60847a360f63,work,2026-04-15 13:18:31.036318,2026-04-15 14:47:29.351941,88,false,2026-04-15 14:46:51.137848
73c4524c-2c24-4108-acee-8ed1799a53b6,59771728-842b-4577-9467-acd80a5b3f27,work,2026-03-19 09:04:46.353307,2026-03-19 09:32:11.307487,27,false,2026-03-19 09:31:44.404266
76df422b-d452-4d3e-bb5a-8922cb09474e,4ec792a0-5def-4a45-9b48-36c1af01be31,work,2026-04-16 12:57:25.772125,2026-04-16 13:05:37.357705,8,false,2026-04-16 13:04:59.136698
776bcc61-2bef-4329-83f2-d5109ecc1f0a,6e67c504-60af-452d-accd-8f1809395426,work,2026-03-19 15:05:26.462079,2026-03-19 15:07:04.386229,1,false,2026-03-19 15:06:39.984584
7d0661e9-6e9b-4f20-8751-8a7a64c2fa10,a55167f6-aad4-55b8-9988-c570ca2b48b7,break,2026-02-17 23:25:13.182368,2026-02-17 23:35:13.182368,10,true,2026-03-18 07:35:13.182368
85f6cc76-ec9b-463b-8dd9-ee15fadd3418,34de8f60-14a6-5d4f-a6db-4cf2fe48c6b4,break,2026-02-17 23:25:13.182368,2026-02-17 23:35:13.182368,10,true,2026-03-18 07:35:13.182368
8617cf7a-bdf9-4ee6-a820-cb9ed21dbd87,012483d2-16b2-42cc-92a2-4a0841f37a1f,work,2026-04-14 17:30:26.136738,2026-04-14 17:36:39.876794,6,false,2026-04-14 17:36:03.104731
86758c38-57c0-415d-ac6c-47fc60069be6,a55167f6-aad4-55b8-9988-c570ca2b48b7,work,2026-02-18 01:35:13.182368,2026-02-18 05:37:13.182368,242,false,2026-03-18 07:35:13.182368
8a0a6367-d7e5-4fbc-bc0c-7a627fd9b6b7,4b51c55d-bb0a-48b0-883a-1c927c283ce3,lunch,2026-03-18 16:05:27.053419,2026-03-18 16:23:39.897411,18,false,2026-03-18 16:23:14.855644
8a4669ac-e816-4929-9b2c-399d00817386,05dc1960-999c-5ee2-a9f8-42c09f9d3861,work,2026-02-23 22:35:13.182368,2026-02-24 07:35:13.182368,540,false,2026-03-18 07:35:13.182368
8cc53bb8-50ba-4229-903d-26b25b32c792,5de913ba-ed6d-5dca-b508-fdc1d6ccf4ca,work,2026-03-05 22:35:13.182368,2026-03-06 07:35:13.182368,540,false,2026-03-18 07:35:13.182368
8dd6404c-41d8-45c2-9856-9cd318d4a2d9,59771728-842b-4577-9467-acd80a5b3f27,work,2026-03-19 10:09:23.681633,2026-03-19 11:52:57.642672,103,false,2026-03-19 11:52:30.965123
95de9aa0-dda7-4a19-8243-7bc3fcc2029f,1947cb4f-414c-4b94-8bf8-b7de9cf2ebf2,work,2026-04-17 05:44:08.06636,2026-04-17 05:45:35.777704,1,false,2026-04-17 05:44:55.4966
a5fbd6e2-0510-461d-aa90-148b21e04ee6,4b51c55d-bb0a-48b0-883a-1c927c283ce3,work,2026-03-18 15:40:23.418389,2026-03-18 15:43:50.617279,3,false,2026-03-18 15:43:26.361498
a9fa07e9-6de7-45d0-9ac3-d2d87ab0caae,a55167f6-aad4-55b8-9988-c570ca2b48b7,lunch,2026-02-18 01:05:13.182368,2026-02-18 01:35:13.182368,30,false,2026-03-18 07:35:13.182368
ae0f4275-e84e-408c-80ab-30d8d08ce16e,34de8f60-14a6-5d4f-a6db-4cf2fe48c6b4,work,2026-02-18 01:35:13.182368,2026-02-18 05:40:13.182368,245,false,2026-03-18 07:35:13.182368
b4088054-2a26-4bcf-b04f-624803c13660,338522c7-0c75-4080-924d-45c242236239,work,2026-04-14 11:25:01.711742,2026-04-14 11:30:54.243214,5,false,2026-04-14 11:30:17.718818
bb1f3b75-78a6-4400-b5d8-301ee40bde3b,3e931d59-cf1c-4c90-b22b-05e82f841f7c,break,2026-04-13 18:00:56.45152,2026-04-13 18:06:32.321901,5,true,2026-04-13 18:05:58.983988
be8cf5fc-573e-4c1c-837d-424bac2c56f6,0b8b2599-074a-4aef-9317-24ea1e1e5f2a,work,2026-03-19 12:18:41.623528,2026-03-19 12:35:28.30961,16,false,2026-03-19 12:35:01.854928
cb7ace35-7df4-4727-9ad3-f096c6ae7767,3e931d59-cf1c-4c90-b22b-05e82f841f7c,work,2026-04-13 17:50:25.007603,2026-04-13 18:00:56.450517,10,false,2026-04-13 18:00:21.960416
cf7844ba-ba7e-46ac-86cd-5a6f94055d0b,4b51c55d-bb0a-48b0-883a-1c927c283ce3,break,2026-03-18 15:43:50.6229,2026-03-18 15:48:40.0578,4,true,2026-03-18 15:48:16.860945
d547cd84-6530-401f-b38b-effb67b966a5,40e3f459-2ebf-423f-b275-f3e6fc5e93b1,work,2026-04-14 11:54:41.216059,2026-04-14 12:06:54.51524,12,false,2026-04-14 12:06:18.053017
d78eafc5-8fcb-46c3-bd19-ad5a60198287,34de8f60-14a6-5d4f-a6db-4cf2fe48c6b4,work,2026-02-17 22:35:13.182368,2026-02-17 23:25:13.182368,50,false,2026-03-18 07:35:13.182368
dd83444a-ae89-4f60-8031-200c58926368,558af15d-e36f-4a97-ac39-80dcfd0cd293,work,2026-04-18 04:54:23.372314,2026-04-18 05:00:02.567244,5,false,2026-04-18 05:00:01.622905
e37da095-b87a-4f03-94aa-1af6915ef09a,fe57bc10-fd21-5b8f-b179-8a93c2380dfb,work,2026-03-09 22:35:13.182368,2026-03-10 07:35:13.182368,540,false,2026-03-18 07:35:13.182368
e84b4727-f0a6-4bf8-8224-7a1437234a49,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,break,2026-02-17 23:25:13.182368,2026-02-17 23:35:13.182368,10,true,2026-03-18 07:35:13.182368
ed889ab5-90ac-40ba-b178-ff875391c0cc,2888769e-faf6-43f7-82db-b2d767cdc1f9,work,2026-04-22 12:21:18.466686,2026-04-22 16:49:55.327848,268,false,2026-04-22 16:49:03.194717
f18bc356-efb7-4b3c-bb2b-5593df2eebd1,4b51c55d-bb0a-48b0-883a-1c927c283ce3,work,2026-03-18 16:23:39.905656,2026-03-18 16:56:56.774415,33,false,2026-03-18 16:56:31.964848
f276bd68-84f6-41bb-a309-af574dcde678,34de8f60-14a6-5d4f-a6db-4cf2fe48c6b4,work,2026-02-17 23:35:13.182368,2026-02-18 01:05:13.182368,90,false,2026-03-18 07:35:13.182368
f9eeb90e-1477-4df5-b7c4-9613169afa0f,4b51c55d-bb0a-48b0-883a-1c927c283ce3,work,2026-03-18 15:48:40.062936,2026-03-18 16:05:27.049421,16,false,2026-03-18 16:05:03.133122
fe3f1d9c-62b1-45c7-909f-5071e91b52c3,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,work,2026-02-17 22:35:13.182368,2026-02-17 23:25:13.182368,50,false,2026-03-18 07:35:13.182368
