id,session_id,employee_id,overall_severity,confidence_score,detections,first_detected_at,last_updated_at,reviewed,reviewed_by,reviewed_at,review_decision,created_at
58e08ea4-bd4e-4d8f-b432-4b2923ba8c25,4ec792a0-5def-4a45-9b48-36c1af01be31,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,0.95,"{""rapid_paste"":{""severity"":""MEDIUM"",""last_seen"":""2026-04-16T13:05:01.186682+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-16T18:28:11.488053"",""2026-04-16T18:28:12.018793""],""occurrences"":2},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-16T13:04:58.397731+00:00"",""confidence"":0.95,""timestamps"":[""2026-04-16T18:28:05.576763"",""2026-04-16T18:28:10.790457"",""2026-04-16T18:28:11.479159"",""2026-04-16T18:28:12.005530""],""occurrences"":4}}",2026-04-16 12:57:39.944577+00,2026-04-16 13:05:01.186682+00,true,078b8628-dcb3-4bbf-9a64-ce01557013a5,2026-04-17 18:04:26.813635+00,escalated,2026-04-16 12:57:40.536258+00
597971ba-2ea4-46e4-bf00-33acafaffc66,00cc884d-9df4-421a-aa2d-070e11371574,ec4d7561-6520-486b-ae55-3904e57a2bc6,HIGH,0.75,"{""long_idle"":{""severity"":""HIGH"",""confidence"":0.9,""occurrences"":4},""minimal_activity"":{""severity"":""MEDIUM"",""confidence"":0.75,""occurrences"":2}}",2026-04-13 10:15:00+00,2026-04-13 12:10:00+00,false,,,,2026-04-15 14:38:52.303262+00
5da0ad5a-a7a5-4de6-a459-93a553a9366b,7cf2d12f-08da-45ff-81a5-9d8eef59f886,0d985da7-bbf3-4d5b-bfe9-010a3456c41c,HIGH,0.70,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.8,""occurrences"":3},""burst_then_idle"":{""severity"":""MEDIUM"",""confidence"":0.7,""occurrences"":2}}",2026-04-17 10:00:00+00,2026-04-17 11:45:00+00,true,078b8628-dcb3-4bbf-9a64-ce01557013a5,2026-04-17 18:24:58.06865+00,escalated,2026-04-15 14:38:52.303262+00
5f534c09-8b7b-4b1e-8ba5-b75905dfd31c,7d64d39e-cbed-5519-8d3b-98e2bc984f66,e1000000-0000-0000-0000-000000000005,HIGH,0.74,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.82,""occurrences"":3}}",2026-03-09 18:35:13.182368+00,2026-03-09 23:10:00+00,true,a1000000-0000-0000-0000-000000000001,2026-03-18 17:25:08.634965+00,dismissed,2026-03-18 07:35:13.182368+00
624836e4-84fa-4d40-8c30-74eaea058398,409dca42-87b1-4b74-ab01-cfdb09196b21,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,1.00,"{""rapid_paste"":{""severity"":""HIGH"",""last_seen"":""2026-04-17T10:35:41.345753+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-17T16:04:43.696679"",""2026-04-17T16:04:44.041985"",""2026-04-17T16:04:44.472309"",""2026-04-17T16:04:44.793643"",""2026-04-17T16:04:45.275683"",""2026-04-17T16:04:45.531093"",""2026-04-17T16:04:45.725487"",""2026-04-17T16:04:45.888757"",""2026-04-17T16:04:46.054598""],""occurrences"":9},""paste_heavy_work"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-17T10:35:44.027627+00:00"",""confidence"":1,""timestamps"":[""2026-04-17T16:05:36.714627"",""2026-04-17T16:06:06.789288""],""occurrences"":2}}",2026-04-17 10:34:59.35825+00,2026-04-17 10:35:44.027627+00,false,,,,2026-04-17 10:34:59.885024+00
669778ab-1ac8-45c1-92ac-524c9def6e99,77fcaa66-f5c8-47fc-bc38-136812d0c193,59bdef83-dd22-4db6-a6a4-1e8d3842078d,HIGH,0.65,"{""minimal_activity"":{""severity"":""MEDIUM"",""confidence"":0.7,""occurrences"":2}}",2026-04-15 10:15:00+00,2026-04-15 12:30:00+00,true,078b8628-dcb3-4bbf-9a64-ce01557013a5,2026-04-18 04:05:07.800579+00,escalated,2026-04-15 14:38:52.303262+00
6ab0b703-1d29-4bb2-9f85-f4c306e60b3a,338522c7-0c75-4080-924d-45c242236239,7655942d-098c-472a-a03d-bb2d96e0450d,CRITICAL,1.00,"{""long_idle"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T11:31:01.560317+00:00"",""confidence"":1,""timestamps"":[""2026-04-14T17:00:22.769660""],""occurrences"":1},""keyboard_sitting"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T11:30:58.869480+00:00"",""confidence"":1,""timestamps"":[""2026-04-14T16:51:07.925401"",""2026-04-14T16:51:07.955344"",""2026-04-14T16:51:07.984415"",""2026-04-14T16:51:08.016113"",""2026-04-14T16:51:08.197588"",""2026-04-14T16:51:08.220008"",""2026-04-14T16:51:08.241648"",""2026-04-14T16:51:08.263320"",""2026-04-14T16:52:03.881073"",""2026-04-14T16:52:03.970652"",""2026-04-14T16:52:04.243289"",""2026-04-14T16:52:33.655505"",""2026-04-14T16:52:35.476179"",""2026-04-14T16:52:43.230574""],""occurrences"":14},""minimal_activity"":{""severity"":""HIGH"",""last_seen"":""2026-04-14T11:31:00.140831+00:00"",""confidence"":0.9273,""timestamps"":[""2026-04-14T17:00:01.741793"",""2026-04-14T17:00:31.791426""],""occurrences"":2},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-14T11:30:57.426898+00:00"",""confidence"":0.99,""timestamps"":[""2026-04-14T16:51:00.837576"",""2026-04-14T16:51:05.043364"",""2026-04-14T16:52:35.489078"",""2026-04-14T16:53:00.462972"",""2026-04-14T16:55:18.244394"",""2026-04-14T16:55:18.400296""],""occurrences"":6}}",2026-04-14 11:25:54.12277+00,2026-04-14 11:31:01.560317+00,true,7655942d-098c-472a-a03d-bb2d96e0450d,2026-04-15 18:39:47.397496+00,escalated,2026-04-14 11:25:17.225574+00
75a6720f-94cc-4686-b518-504916064d05,d22b22b3-1869-4393-95b7-171cdddd3790,478a5022-70c4-4fe6-ae07-a741998add51,HIGH,0.70,"{""rapid_paste"":{""severity"":""HIGH"",""confidence"":0.8,""occurrences"":4}}",2026-04-14 13:00:00+00,2026-04-14 17:30:00+00,false,,,,2026-04-15 14:38:52.303262+00
89351406-d13e-4666-9f75-6fe6028d597d,d0aca746-b1bf-4c30-a962-eead4b62a015,1950dcfc-8839-4c50-ab2a-11a6f6c018ff,CRITICAL,0.99,"{""long_idle"":{""severity"":""LOW"",""last_seen"":""2026-04-15T18:44:08.022016+00:00"",""confidence"":0.7085,""timestamps"":[""2026-04-15T23:45:09.575132""],""occurrences"":1},""rapid_paste"":{""severity"":""MEDIUM"",""last_seen"":""2026-04-15T18:44:06.450113+00:00"",""confidence"":0.8,""timestamps"":[""2026-04-15T23:07:36.581072"",""2026-04-15T23:07:37.058166""],""occurrences"":2},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-04-15T18:43:54.334949+00:00"",""confidence"":0.99,""timestamps"":[""2026-04-15T23:07:29.881106"",""2026-04-15T23:07:34.059837"",""2026-04-15T23:07:36.572987"",""2026-04-15T23:07:37.051776"",""2026-04-16T00:07:37.480986"",""2026-04-16T00:13:26.049526""],""occurrences"":6}}",2026-04-15 17:37:42.934134+00,2026-04-15 18:44:08.022016+00,false,,,,2026-04-15 17:37:04.649347+00
9bca2ee5-94ad-4d66-9e1c-40ce2ba61af6,1d3f7415-0e34-4bcd-897a-d6518784dde5,ec4d7561-6520-486b-ae55-3904e57a2bc6,CRITICAL,0.85,"{""long_idle"":{""severity"":""CRITICAL"",""confidence"":0.95,""occurrences"":7},""keyboard_sitting"":{""severity"":""HIGH"",""confidence"":0.9,""occurrences"":4}}",2026-04-16 10:10:00+00,2026-04-16 11:40:00+00,false,,,,2026-04-15 14:38:52.303262+00
9d06c686-b1c6-40dd-a206-5355c4adf0d8,2876230b-c7d3-4806-9d66-e1e981584281,a1000000-0000-0000-0000-000000000001,CRITICAL,0.99,"{""long_idle"":{""severity"":""HIGH"",""last_seen"":""2026-03-19T17:10:14.533530+00:00"",""confidence"":0.9169,""timestamps"":[""2026-03-19T22:32:01.388081""],""occurrences"":1},""suspicious_paste"":{""severity"":""CRITICAL"",""last_seen"":""2026-03-19T17:10:17.477154+00:00"",""confidence"":0.99,""timestamps"":[""2026-03-19T22:35:39.805129"",""2026-03-19T22:38:18.869637"",""2026-03-19T22:38:30.538379"",""2026-03-19T22:38:41.835717""],""occurrences"":4}}",2026-03-19 17:02:58.370026+00,2026-03-19 17:10:17.477154+00,false,,,,2026-03-19 17:02:59.112835+00
9d9ebaeb-7809-4957-bdc4-e8c52750b176,3d259f09-e242-4665-8072-1d4ceeb906f6,91a97f9e-c93b-42f0-bce9-172796794200,HIGH,0.72,"{""suspicious_paste"":{""severity"":""HIGH"",""confidence"":0.9,""occurrences"":3}}",2026-04-18 12:30:00+00,2026-04-18 15:00:00+00,true,078b8628-dcb3-4bbf-9a64-ce01557013a5,2026-04-17 18:13:41.108841+00,escalated,2026-04-15 14:38:52.303262+00
