id,session_id,employee_id,hour_of_day,activity_intensity,break_effectiveness_score,keystroke_count,mouse_movement_count,paste_count,recorded_at,created_at
77bf1c85-ddda-4052-86c7-b5ae64420ab5,05dc1960-999c-5ee2-a9f8-42c09f9d3861,e1000000-0000-0000-0000-000000000003,10,18.00,40.00,65,8,0,2026-02-24 00:35:13.182368,2026-03-18 07:35:13.182368
868b9643-bade-4778-8d42-76eb76cebf42,409dca42-87b1-4b74-ab01-cfdb09196b21,7655942d-098c-472a-a03d-bb2d96e0450d,16,10.68,,22,102,12,2026-04-17 10:35:41.45154,2026-04-17 10:35:42.175214
8dba380c-c660-474a-be5a-6df9e3dded9c,05dc1960-999c-5ee2-a9f8-42c09f9d3861,e1000000-0000-0000-0000-000000000003,9,22.00,45.00,80,12,1,2026-02-23 23:35:13.182368,2026-03-18 07:35:13.182368
919e5852-601b-40a0-aaa2-e9172fbb3ee3,5de913ba-ed6d-5dca-b508-fdc1d6ccf4ca,e1000000-0000-0000-0000-000000000009,10,8.00,25.00,25,3,0,2026-03-06 00:35:13.182368,2026-03-18 07:35:13.182368
95cbb1a5-36c7-4551-b513-233bd7447e41,de0138bc-594b-446f-bece-64131313ad77,7655942d-098c-472a-a03d-bb2d96e0450d,17,0.00,,0,37,0,2026-04-14 12:23:54.99139,2026-04-14 12:23:18.166447
9622a579-2702-4f4f-8522-b2ef9aea0f30,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,e1000000-0000-0000-0000-000000000001,14,88.00,90.00,460,340,2,2026-02-18 04:35:13.182368,2026-03-18 07:35:13.182368
9852d6e0-c4c5-41a7-b62c-a9dabf8ef808,f5783da6-6e4e-407e-9650-60847a360f63,1950dcfc-8839-4c50-ab2a-11a6f6c018ff,20,57.63,,2379,2063,23,2026-04-15 14:47:37.143252,2026-04-15 14:46:58.702044
99d1f034-f64f-4764-9af6-fd397ac9cfe4,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,e1000000-0000-0000-0000-000000000001,10,91.00,92.00,510,380,3,2026-02-18 00:35:13.182368,2026-03-18 07:35:13.182368
9f32b0e7-8991-4985-a5e0-6e646edbf671,5de913ba-ed6d-5dca-b508-fdc1d6ccf4ca,e1000000-0000-0000-0000-000000000009,9,12.00,30.00,40,5,0,2026-03-05 23:35:13.182368,2026-03-18 07:35:13.182368
b00a5e9a-51c1-457e-adb5-11254580cb0a,012483d2-16b2-42cc-92a2-4a0841f37a1f,60981727-cff3-4f24-865f-0917898bb71e,23,15.66,,104,331,2,2026-04-14 17:36:40.26157,2026-04-14 17:36:03.035557
b5f99527-95fe-45b9-a949-bc2245fc03bc,2888769e-faf6-43f7-82db-b2d767cdc1f9,7655942d-098c-472a-a03d-bb2d96e0450d,18,19.06,,114,298,3,2026-04-22 16:49:02.479711,2026-04-22 16:49:03.119881
dcbc5b99-eb5d-4f46-abe7-b83813c407ec,5de913ba-ed6d-5dca-b508-fdc1d6ccf4ca,e1000000-0000-0000-0000-000000000009,14,10.00,28.00,30,4,0,2026-03-06 04:35:13.182368,2026-03-18 07:35:13.182368
ddfeebb9-d23e-4595-b85a-dbd83d67919a,6df05c83-b8f6-43a3-8660-7856124405f0,0538b32c-c891-41bd-a82e-b150f09fc50e,23,34.28,,327,476,8,2026-04-14 17:55:05.593664,2026-04-14 17:54:28.460231
de00668b-54c4-4a3c-b56b-325c3921359f,338522c7-0c75-4080-924d-45c242236239,7655942d-098c-472a-a03d-bb2d96e0450d,17,1.96,,4,101,2,2026-04-14 11:30:54.644699,2026-04-14 11:30:17.745743
e4d3d243-6fe5-46ba-a121-7509687bd2e6,a55167f6-aad4-55b8-9988-c570ca2b48b7,e1000000-0000-0000-0000-000000000004,9,90.00,94.00,520,410,3,2026-02-17 23:35:13.182368,2026-03-18 07:35:13.182368
eea53c9b-6c2e-40df-904d-d42b1c04140b,2888769e-faf6-43f7-82db-b2d767cdc1f9,7655942d-098c-472a-a03d-bb2d96e0450d,22,19.06,,114,298,3,2026-04-22 16:49:02.479783,2026-04-22 16:49:03.119881
f185cd7e-9766-4506-b95e-d1b195d5221a,8aa5ada4-31e8-5918-b8a7-57fc8a7b1b9e,e1000000-0000-0000-0000-000000000001,9,82.00,88.00,420,310,2,2026-02-17 23:35:13.182368,2026-03-18 07:35:13.182368
